Index	NumberPSM	ProteinID	MaxPepProb	ReferenceIntensity	126	127N	127C	128N	128C	129N	129C	130N	130C	131N	RefInt_TMT10_FP18_chimerys
CREB3L3	2	Q68CJ9	0.9999	20.449858683411414	20.79338941605578	16.23257635734713	17.69343192179217	20.856147798302565	16.89651050798556	21.68138617803226	21.405980876705517	20.938288052678367	17.94250856122166	20.753384638993506	20.449858683411414
CREG1	2	O75629	0.9996	20.761748319313384	20.52273558611622	16.721579111559784	17.32244827818794	21.11770109910305	17.526846792243447	21.095173278960903	20.651295434416074	21.417271488438193	17.667148699116044	22.261469341800783	20.761748319313384
CRELD1	7	Q96HD1	1.0	23.953461526390406	23.85560579703633	19.839204177531105	21.165362333157873	25.32979907257932	20.798892765375918	24.673580550101384	24.458538274668065	24.748329235458318	21.24856108220887	24.495618319307216	23.953461526390406
CRELD2	7	Q6UXH1	1.0	23.51036457531466	22.606478921516096	19.44953433428817	20.125146818617033	24.292912349243586	19.888478100293025	24.53953407323051	24.782615900007073	24.041181344962318	21.642496154921055	23.79620412905762	23.51036457531466
CRIP1	1	P50238	0.9987	22.645178171766037	22.346131332010398	18.171468073240476	19.82297713863211	23.69605014347682	19.13187270849964	23.616218965194214	23.580786643412626	23.40847515862375	20.562986060333635	22.694779371780776	22.645178171766037
CRIP2	10	P52943	1.0	23.728223729517705	23.836751087494527	19.45325188548808	20.878000291355203	25.446742109838	20.654266005184592	24.05214686464465	23.628317875164434	24.277532872487527	20.25949668282738	24.17239475031277	23.728223729517705
CRK	14	P46108	1.0	24.05819010121854	24.304624450971502	19.796097350821963	21.45133488300294	24.54822086339963	20.675007664255993	24.345136654937686	24.288551107731774	24.223846451116604	21.015321717598468	25.601023904039614	24.05819010121854
CRKL	17	P46109	1.0	24.06774642344469	24.20129080826267	20.263135220869792	21.525062996142033	25.263093311182093	20.633386739417595	24.351686780493065	24.180887124797728	24.448477292005503	20.92773220240706	24.984120164026734	24.06774642344469
CRLF3	5	Q8IUI8	1.0	21.224341458931892	21.345090061913766	17.091947060149533	18.615814493263287	21.86667371267636	17.997036807993673	21.79142795624057	21.84291572289919	21.745841042018093	18.629450073553997	22.37202115880793	21.224341458931892
CRNKL1	16	Q9BZJ0	1.0	24.70691898086616	24.475158659307215	20.369716824976646	21.476762279958084	26.57958584363263	21.42717489517202	25.310115644439204	24.919196903783007	24.851923820415568	21.4003929082637	25.03455351793019	24.70691898086616
CROCC	13	Q5TZA2	1.0	21.41573745518859	21.37852029105741	17.856415287830757	18.56129816759894	22.62312003773388	18.725478760520332	22.146927201144305	21.844296103384202	22.00226843494387	18.570750028553757	21.99589249264672	21.41573745518859
CROT	13	Q9UKG9	1.0	24.336637432393285	24.666003245153405	20.361633871752325	22.097981350363717	25.46660792289082	20.95763781854576	24.97115346244325	24.925415541311274	24.77200738017235	21.603855263743785	24.832555651661238	24.336637432393285
CRP	6	P02741	1.0	24.028650849919917	22.245219389748513	19.52778860925916	20.44651701375963	25.201380350524108	20.406083347725637	25.164332483648874	24.852044460822757	24.455881075706003	21.18780650117003	22.934897733367702	24.028650849919917
CRPPA	1	A4D126	1.0	20.44274611742949	20.71015665118518	17.632204836109892	18.289202473854814	21.137583746451888	17.78293017354515	20.51515639141005	21.035659007160543	20.9907172862388	18.71624562848813	21.661922371818985	20.44274611742949
CRTAC1	2	Q9NQ79	0.9899	18.140609998411406	18.562765857329758	15.194243146101005	16.02045951270253	18.716192485066323	15.428057430173753	18.4841725146747	18.471434122056937	18.88644563075973	15.24658115061603	18.986578983470334	18.140609998411406
CRTAP	8	O75718	1.0	24.101172396932128	23.814956749313676	19.865145963920053	20.967878378994456	24.92503854767791	20.88697741826827	24.91388209852732	24.968657767822858	24.656456124860142	21.4242178265593	24.359444947263317	24.101172396932128
CRTC2	2	Q53ET0	0.9976	20.470529524439417	20.308370664311777	16.854266330565988	17.41712398322715	22.22946508884157	17.664542457774996	21.053814371647945	20.69141808201472	20.706448903477945	17.23154580179486	20.96831022665863	20.470529524439417
CRYAB	2	P02511	1.0	22.272971701427405	21.841276933520138	19.780807954846328	19.359676329297113	22.49285258980215	20.337370372151895	22.699551302463515	22.160215596123273	22.81685485922643	19.408602211417254	23.459842963252026	22.272971701427405
